
api-1  | 2026-06-06 22:50:51,673 INFO httpx: HTTP Request: POST http://cdn1.obedtv.live:2023/rtc/v1/whep/?app=live&stream=vodapple "HTTP/1.1 201 Created"
db-1   | 2026-06-06 13:05:30.048 UTC [55] LOG:  checkpoint complete: wrote 26 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.534 s, sync=0.021 s, total=2.619 s; sync files=9, longest=0.013 s, average=0.003 s; distance=170 kB, estimate=203 kB; lsn=0/3B0DCB8, redo lsn=0/3B0DC80
db-1   | 2026-06-06 13:10:27.148 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:10:29.493 UTC [55] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.236 s, sync=0.022 s, total=2.345 s; sync files=9, longest=0.015 s, average=0.003 s; distance=154 kB, estimate=198 kB; lsn=0/3B34678, redo lsn=0/3B34640
db-1   | 2026-06-06 13:15:27.593 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:15:30.344 UTC [55] LOG:  checkpoint complete: wrote 27 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.619 s, sync=0.051 s, total=2.752 s; sync files=9, longest=0.041 s, average=0.006 s; distance=170 kB, estimate=195 kB; lsn=0/3B64BB8, redo lsn=0/3B5EFA8
db-1   | 2026-06-06 13:20:27.444 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:20:29.861 UTC [55] LOG:  checkpoint complete: wrote 24 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.332 s, sync=0.020 s, total=2.417 s; sync files=9, longest=0.015 s, average=0.003 s; distance=160 kB, estimate=192 kB; lsn=0/3B871F8, redo lsn=0/3B871C0
db-1   | 2026-06-06 13:25:27.891 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:25:31.021 UTC [55] LOG:  checkpoint complete: wrote 31 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.036 s, sync=0.037 s, total=3.130 s; sync files=9, longest=0.032 s, average=0.005 s; distance=185 kB, estimate=191 kB; lsn=0/3BB57F0, redo lsn=0/3BB57B8
db-1   | 2026-06-06 13:30:27.091 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:30:46.041 UTC [55] LOG:  checkpoint complete: wrote 189 buffers (1.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=18.853 s, sync=0.028 s, total=18.950 s; sync files=10, longest=0.024 s, average=0.003 s; distance=183 kB, estimate=190 kB; lsn=0/3BEC9D0, redo lsn=0/3BE36D0
db-1   | 2026-06-06 13:35:27.091 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:35:29.408 UTC [55] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.234 s, sync=0.021 s, total=2.318 s; sync files=9, longest=0.017 s, average=0.003 s; distance=154 kB, estimate=187 kB; lsn=0/3C0A040, redo lsn=0/3C09FF0
db-1   | 2026-06-06 13:40:27.507 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:40:30.431 UTC [55] LOG:  checkpoint complete: wrote 29 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.831 s, sync=0.029 s, total=2.925 s; sync files=9, longest=0.024 s, average=0.004 s; distance=192 kB, estimate=192 kB; lsn=0/3C3A0B8, redo lsn=0/3C3A080
db-1   | 2026-06-06 13:45:27.532 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:45:29.741 UTC [55] LOG:  checkpoint complete: wrote 22 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.118 s, sync=0.021 s, total=2.210 s; sync files=9, longest=0.019 s, average=0.003 s; distance=161 kB, estimate=189 kB; lsn=0/3C62798, redo lsn=0/3C62760
db-1   | 2026-06-06 13:50:27.841 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:50:30.629 UTC [55] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.719 s, sync=0.014 s, total=2.789 s; sync files=9, longest=0.013 s, average=0.002 s; distance=184 kB, estimate=188 kB; lsn=0/3C90908, redo lsn=0/3C908D0
db-1   | 2026-06-06 13:55:27.730 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 13:55:30.758 UTC [55] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.939 s, sync=0.024 s, total=3.029 s; sync files=9, longest=0.023 s, average=0.003 s; distance=218 kB, estimate=218 kB; lsn=0/3CC7368, redo lsn=0/3CC7330
db-1   | 2026-06-06 14:00:27.858 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:00:30.898 UTC [55] LOG:  checkpoint complete: wrote 30 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.951 s, sync=0.021 s, total=3.040 s; sync files=9, longest=0.014 s, average=0.003 s; distance=208 kB, estimate=217 kB; lsn=0/3D05228, redo lsn=0/3CFB6F8
db-1   | 2026-06-06 14:05:27.922 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:05:30.733 UTC [55] LOG:  checkpoint complete: wrote 28 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.729 s, sync=0.023 s, total=2.812 s; sync files=9, longest=0.019 s, average=0.003 s; distance=191 kB, estimate=214 kB; lsn=0/3D2B398, redo lsn=0/3D2B328
db-1   | 2026-06-06 14:10:27.834 UTC [55] LOG:  checkpoint starting: time
db-1   | 2026-06-06 14:10:30.169 UTC [55] LOG:  checkpoint complete: wrote 23 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.240 s, sync=0.024 s, total=2.336 s; sync files=9, longest=0.016 s, average=0.003 s; distance=154 kB, estimate=208 kB; lsn=0/3D51E00, redo lsn=0/3D51DC8
db-1   | 2026-06-06 14:15:27.269 UTC [55] LOG:  checkpoint starting: time
